Product,Theme/Deck,Card Name,Set Code,Quantity
Legendary Modern Decks 2026,Mitsurugi,Infinite Impermanence,L26D-ENM19,3
Legendary Modern Decks 2026,Mitsurugi,Mitsurugi Great Purification,L26D-ENM20,1
Legendary Modern Decks 2026,Mitsurugi,Mitsurugi Tempest,L26D-ENM21,1
Legendary Modern Decks 2026,Mitsurugi,Evilswarm Exciton Knight,L26D-ENM22,1
Legendary Modern Decks 2026,Mitsurugi,Tornado Dragon,L26D-ENM23,1
Legendary Modern Decks 2026,Mitsurugi,Number 41: Bagooska the Terribly Tired Tapir,L26D-ENM24,1
Legendary Modern Decks 2026,Mitsurugi,Number 90: Galaxy-Eyes Photon Lord,L26D-ENM25,1
Legendary Modern Decks 2026,Mitsurugi,Number 60: Dugares the Timeless,L26D-ENM26,1
Legendary Modern Decks 2026,Mitsurugi,Light Dragon @Ignister,L26D-ENM27,1
Legendary Modern Decks 2026,Mitsurugi,Super Starslayer TY-PHON - Sky Crisis,L26D-ENM28,1
Legendary Modern Decks 2026,Mitsurugi,I:P Masquerena,L26D-ENM29,2
Legendary Modern Decks 2026,Mitsurugi,"Dharc the Dark Charmer, Gloomy",L26D-ENM30,2
Legendary Modern Decks 2026,Mitsurugi,Dyna Mondo,L26D-ENM31,2
Legendary Modern Decks 2026,Mitsurugi,S:P Little Knight,L26D-ENM32,2
Legendary Modern Decks 2026,Sky Striker,Sky Striker Ace - Raye,L26D-ENS33,3
Legendary Modern Decks 2026,Sky Striker,"Nibiru, the Primal Being",L26D-ENS34,2
Legendary Modern Decks 2026,Sky Striker,Sky Striker Ace - Roze,L26D-ENS35,2
Legendary Modern Decks 2026,Sky Striker,Sky Striker Mecha - Adil Saber,L26D-ENS36,1
Legendary Modern Decks 2026,Sky Striker,Raigeki,L26D-ENS37,3
Legendary Modern Decks 2026,Sky Striker,Harpie's Feather Duster,L26D-ENS38,1
Legendary Modern Decks 2026,Sky Striker,Upstart Goblin,L26D-ENS39,3
Legendary Modern Decks 2026,Sky Striker,Reinforcement of the Army,L26D-ENS40,1
Legendary Modern Decks 2026,Sky Striker,Called by the Grave,L26D-ENS41,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Mobilize - Engage!,L26D-ENS42,3
Legendary Modern Decks 2026,Sky Striker,Sky Striker Maneuver - Afterburners!,L26D-ENS43,2
Legendary Modern Decks 2026,Sky Striker,Sky Striker Maneuver - Jamming Waves!,L26D-ENS44,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Mecha - Hornet Drones,L26D-ENS45,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Mecha - Widow Anchor,L26D-ENS46,3
Legendary Modern Decks 2026,Sky Striker,Sky Striker Mecha - Eagle Booster,L26D-ENS47,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Mecha - Shark Cannon,L26D-ENS48,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Mecharmory - Hercules Base,L26D-ENS49,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Mecha Modules - Multirole,L26D-ENS50,1
